red,green,blue,rowNum,listing_title,listing_distance_miles,listing_url,price,listingPriceRedu,Body Style,Drive Type,Engine,Mileage,Transmission,ATC Car ID,Fuel,Stock #,VIN,carFeaturesText,exterior,interior,sellerComment,Basic Warranty,Corrosion Warranty,Drivetrain Warranty,Roadside Assistance Warranty,newListingIndicator,Dealer,model,V5,year,ownershipStatus,Location,sellerType,DriveTypeGeneral,numWordsinComment,CityMpg,HyMpg
227,19,19,1,Used 2014 Jeep Wrangler Unlimited Sport,0,/cars-for-sale/vehicledetails.xhtml?listingId=484973207&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,51e3,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,13500,Automatic,AT-1CE81A97,Gasoline,Information Unavailable,1C4BJWDG2EL269185,Backup CameraBluetooth Hands-FreeCD PlayerCruise ControlHeated SeatsKeyless EntryLeather SeatsLift KitPortable Audio ConnectionPower Locks,#E31313,#000000,"2014 Magnuson Supercharged Wrangler!Doctor Owned since new with clean Title. 4 inch Teraflex lift will all 8 control arms.Teraflex front and rear track bars.Teraflex Big Brake kit, with SS lines.Bentley Stitched Nappa leather heated seats with red contrast stitching.4.88 G2 gears.Fox Shocks.New touch screen Kenwood head unit with back up camera.Warn Winch.Front and roof mounted light Bars.Front and rear bumpers.Bushwhacker fender flares. Black Rhino 12 x 20 wheels currently running 35s.Fuel wheels chrome with 37 x 13.5 x 20 included in sale. All mods minus the supercharger done by Moab Outfitters in Lindon, Utah.Have carfax",NA,NA,NA,NA,FALSE,Private Seller,Unlimited Sport,NA,2014,Used,Provo,Private,Automatic,631,NA,NA
153,51,0,2,Used 2013 Jeep Wrangler Sport,2,/cars-for-sale/vehicledetails.xhtml?listingId=486259714&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,20989,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,55372,Manual,AT-1CFBBC02,Gasoline,R3789A,1C4AJWAG3DL681324,"17"" X 7.5"" ALUMINUM WHEELS23S CUSTOMER PREFERRED ORDER SELECTION PKG  -inc: 3.6L V6 engine  6-speed manual trans  17"" x 7.5"" aluminum wheels  P255/75R17 on/off-road OWL tires  air cond  leather-wrapped steering wheel  chrome/leather wrapped shift knob3.6L SMPI 24V VVT V6 ENGINE  (STD)3.73 AXLE RATIO4-Wheel Disc Brakes6-SPEED MANUAL TRANSMISSION  (STD)ABSAIR CONDITIONINGAM/FM StereoANTI-SPIN REAR DIFFERENTIAL",#993300,#000000,"Priced to sell at $3,581 below the market average. This 2013 Jeep Wrangler Sport, has a great Rugged Brown Pearl exterior, and a clean Black Interior interior! -Only 55,372 miles which is low for a 2013 ! This model has many valuable options -Aux. Audio Input 4-Wheel Drive -Fog Lights -Security System -Steering Wheel Controls -Cruise Control Manual Transmission -Rear Bench Seats -Tire Pressure Monitors On top of that, it has many safety features -Traction Control -Stability Control Save money at the pump, knowing this Jeep Wrangler gets 21/17 MPG! Call Larry H. Miller Used Car Supermarket Orem at (801) 221-2813 to confirm availability and schedule a no-obligation test drive! We are located at 690 S State St, Orem, UT 84058.","3 Years/36,000 Miles","5 Years/100,000 Miles","5 Years/100,000 Miles","5 Years/100,000 Miles",FALSE,Larry H. Miller Used Car Supermarket Orem,Sport,NA,2013,Used,Provo,Dealer,Manual,733,17,21
243,213,17,3,Used 2008 Jeep Wrangler Unlimited X,3,/cars-for-sale/vehicledetails.xhtml?listingId=479917132&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,27999,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,22266,Automatic,AT-1C9AF44C,Gasoline,8060,1J4GA39178L650005,Alloy WheelsAnti-Lock BrakesCD PlayerCruise ControlKeyless EntryPortable Audio ConnectionPower LocksPower WindowsPremium WheelsRear Window Defroster,#F3D511,#000000,"2008 JEEP WRANGLER UNLIMITED X 4DR 4X4 22K MILES.  This Jeep is an exceptional, very low mile Wrangler out of So. California. Only 22K original miles!  Excellent condition in every single way. Ovr 15K in tasteful upgrades! Features include power windows, power door locks, cruise control, tilt steering column, am/fm audio with CD player and USB input, CB radio, air conditioning, dual front bucket seats, tinted windows, 5 passenger seating, front and rear off road bumpers, Smitybuilt 10K lb winch, off road driving lights, front roll cage, steel painted fender flares, upgraded spare tire mount, Onboard air compressor, 6 inch long arm lift,  20 inch wheels, near new 35 inch Toyo M/T's all the way around, about 90%, matching full size spare tire, 3.8L V6 engine, 5 speed automatic transmission, 4WD. This Jeep is an awesome SUV. Has spent the majority of it's life in So. California away from the snow, salt and cold weather. No road rash or rock chips, no rust or corrosion of any kind. Interior is smoke free and in excellent condition. Fully serviced and inspected by Major League Auto Repair in PLeasant Grove, needs nothing. Rides and drives tight and smooth. Front to back, top to bottom this Jeep is as nice as they come. Credit Union financing available in office. Carfax certified with no accidents or damage history! We specialize in mint condition, low mileage vehicles out of So. California. This Jeep is a perfect example. Follow us on Facebook or at www.tyackemotors.com!",NA,NA,NA,NA,FALSE,Tyacke Motors,Unlimited X,NA,2008,Used,Provo,Dealer,Automatic,1490,15,19
0,0,0,4,Used 2007 Jeep Wrangler 4WD X,3,/cars-for-sale/vehicledetails.xhtml?listingId=483503721&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,12995,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,121304,6-Speed Manual,AT-1CD1AE69,Gasoline,158475,1J4FA24107L158475,4wd Selector - Manual Hi-Lo4wd Type - Part TimeAbs - 4-WheelAirbag Deactivation - Occupant Sensing PassengerAntenna Type - MastAnti-Theft System - Engine ImmobilizerAxle Ratio - 3.21Braking AssistCargo Cover - RetractableCenter Console - Front Console With Storage,#000000,#000000,"***THIS CAR IS LOCATED IN OREM***2007 Jeep Wrangler X 4X4-Clean Title-Clean CarFax-Front Fog/Driving Light-Tilt-Adjustable Steering Wheel-Cruise Control-Leather Steering Wheel-Air Conditioning-Bucket Front Seats-Part Time 4 Wheel DriveHere at Action Auto Sales and Finance we offer rates as low as 3.33% OAC! Financing available for everyone!! We strive to get the car you want at the PRICE you need! We accept trades and offer the same full line of services you would expect from any reputable Dealership. We are open Monday- Saturday from 10:00 am - 7:00pm, closed Sunday. Free CARFAX available on any car!! Come in TODAY or please call or text anytime for more information!Office Number: (801)766-6137Call/Text: (24/7 Sales/Finance Line)Email: sales@actionautoutah.comWebsite: actionautoutah.com*PLEASE CALL TO SCHEDULE TEST DRIVE TODAY*",NA,NA,NA,NA,FALSE,Action Auto Sales and Finance (2),4WD X,NA,2007,Used,Provo,Dealer,Manual,840,17,19
5,81,141,5,Used 2007 Jeep Wrangler 4WD Unlimited Rubicon,6,/cars-for-sale/vehicledetails.xhtml?listingId=476133348&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER&digitalRetail=true,19995,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,101014,Information Unavailable,AT-1C6137E4,Gasoline,P182958,1J8GA69147L182958,4WD/AWDAM/FM RadioAir ConditioningAlloy WheelsCD PlayerCruise ControlDriver AirbagFog LightsFull Size Spare TireInterval Wipers,#05518D,#454545,"CALL OR TEXT US 801-609-2277!! THIS 2007 JEEP WRANGLER RUBICON WILL NOT LAST LONG AT A DEAL LIKE THIS ONE!! THIS JEEP IS IN GREAT SHAPE INSIDE AND OUT!! COME CHECK OUT THIS RIG TODAY AT IDRIVE!! -CLEAN TITLE -LOW MILES -4X4 -RUBICON -LEVELED -NEW XD SERIES WHEELS -SUPER CLEAN THIS JEEP HAS BEEN WELL MAINTAINED AND CARED FOR!! DONT MISS OUT ON A GREAT VEHICLE!! HURRY DOWN TO IDRIVE AND CHECK OUT OUR INVENTORY THAT WE HAVE TO OFFER! WE LOOK FORWARD TO SEEING YOU HERE AT IDRIVE!! CALL OR TEXT 801-609-2277 FOR ADDITIONAL INFORMATION. WE ACCEPT ALL TRADES AND CAN ASSIST WITH BUYER FINANCING. WITH OVER 100 VEHICLES IN OUR INVENTORY TO CHOOSE FROM WE CAN GET YOU INTO A VEHICLE YOU WILL LOVE. COME IN AND SEE US AT 1850 NORTH STATE ST. OREM UT, 84057.",NA,NA,NA,NA,FALSE,iDrive Utah,4WD Unlimited Rubicon,NA,2007,Used,Provo,Dealer,NA,752,NA,NA
0,0,0,6,Used 2013 Jeep Wrangler 4WD Unlimited Sahara,6,/cars-for-sale/vehicledetails.xhtml?listingId=474577026&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,27995,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,60299,5-Speed Automatic,AT-1C497882,Gasoline,P3363,1C4BJWEG5DL617719,4WD/AWDABS BrakesAM/FM RadioAir ConditioningAlloy WheelsAutomatic HeadlightsCD PlayerCargo Area TiedownsChild Safety Door LocksCruise Control,#000000,#000000,"CLEAN TITLE, CARFAX CERTIFIED! COMES WITH TONS OF EXTRAS!!! AFTERMARKET GRILLE, HEADLIGHTS, ADDED CUSTOM PROFESSIONAL LIGHTBAR, PREMIUM WHEELS AND GOOD CONDITION TIRES, UPGRADED STEREO SYSTEM, BACKUP CAMERA, HARD TOP REMOVEABLE ROOF, CLOTH INTERIOR, AND MANY MORE OPTIONS. CALL OR TEXT JASON AT 801-856-0410 OR CHRIS @ 801-874-8132 WITH ANY QUESTIONS. WE ACCEPT TRADES AND CAN ARRANGE BUYER FINANCING CHECK OUT OUR FULL INVENTORY AT ASAYAUTO.COM","3 Years/36,000 Miles","5 Years/100,000 Miles","5 Years/100,000 Miles","5 Years/100,000 Miles",FALSE,Asay Auto,4WD Unlimited Sahara,NA,2013,Used,Provo,Dealer,Automatic,445,17,21
0,0,0,7,Used 2010 Jeep Wrangler 4WD Unlimited Sahara,6,/cars-for-sale/vehicledetails.xhtml?listingId=478588543&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,24995,TRUE,Sport Utility,4 wheel drive - rear,6-Cylinder,46792,4-Speed Automatic,AT-1C86AE7F,Gasoline,P2628,1J4HA5H11AL102671,4WD/AWDABS BrakesAM/FM RadioAir ConditioningAlloy WheelsCD PlayerCargo Area TiedownsChild Safety Door LocksCruise ControlDeep Tinted Glass,#000000,#454545,"2010 JEEP WRANGLER SAHARA, 4WD: CLEAN TITLE, CLEAN CARFAX REPORT SHOWING 1 ORIGINAL OWNER! THIS JEEP IS IN EXCELLENT CONDITION! COMES LOADED WITH THE SAHARA PACKAGE! INTERIOR HAS NAVIGATION, COMES WITH A REMOVABLE HARD TOP, AND SOFT TOP. WHEELS AND TIRES ARE IN EXCELLENT CONDITION! CALL OR TEXT CHRIS AT 801-874-8132 WITH ANY QUESTIONS. WE ACCEPT TRADES AND CAN ARRANGE BUYER FINANCING CHECK OUT OUR FULL INVENTORY AT ASAYAUTO.COM","3 Years/36,000 Miles","5 Years/100,000 Miles (fully transferable with no fee)",3 Years/Unlimited Miles,"3 Years/36,000 Miles",FALSE,Asay Auto,4WD Unlimited Sahara,NA,2010,Used,Provo,Dealer,Automatic,431,15,19
0,0,0,8,Used 2013 Jeep Wrangler 4WD Unlimited Sahara,6,/cars-for-sale/vehicledetails.xhtml?listingId=482470665&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,27995,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,56821,5-Speed Automatic,AT-1CC1EB09,Gasoline,P3531A,1C4BJWEG8DL571321,4WD/AWDABS BrakesAM/FM RadioAir ConditioningAlloy WheelsAutomatic HeadlightsCD PlayerCargo Area TiedownsChild Safety Door LocksCruise Control,#000000,#D2B48C,LOADED BLACK ON BLACK JEEP! THE JEEP YOUVE ALL BEEN LOOKING FOR IS FINALLY HERE! THIS JEEP WAS WELL KEPT ITS ENTIRE LIFE AND IT SHOWS! PAVEMENT PRINCESS! MECHANICALLY PERFECT! FRONT END IS TIGHT AND DRIVES STRAIGHT! INTERIOR IS IN PERFECT CONDITION! SMOKE FREE. THE RED ON THE INTERIOR WAS PROFESSIONALLY DONE AND CAN BE EASILY REMOVED (PLASTIC WRAPS). EXTERIOR IS IN EXCELLENT CONDITION! LOADED WITH SO MANY OPTIONS: - LIFTED - TOYO AT TIRES - BLACK RHINO WHEELS - LEATHER INTERIOR - HEATED SEATS - CUSTOM BUMPER & LIGHT BAR - UCONNECT - NAVIGATION - AND SO MUCH MORE! DON''T LET THIS PRISTINE JEEP SLIP BY. WITH HOW THIS TRUCK IS SETUP AND IN THIS CONDITION WE ARE CONFIDENT YOU WONT FIND ONE LIKE IT FOR A BETTER DEAL. FEEL FREE TO CALL OR TEXT BLAKE AT 801-358-0611 OR SEBASTIAN AT 801-494-9946 WITH ANY QUESTIONS OR TO SCHEDULE A TEST DRIVE. WE ARE LOCATED AT 55 SOUTH STATE STREET IN LINDON. THANKS FOR LOOKING! BLAKE 801-358-0611 SEBASTIAN 801-494-9946 -VIEW THIS TRUCK OR OUR FULL INVENTORY AT ASAYAUTO.COM OR KSL.COM -WE ACCEPT ALL TYPES OF TRADES AND ASSIST WITH BUYER FINANCING,"3 Years/36,000 Miles","5 Years/100,000 Miles","5 Years/100,000 Miles","5 Years/100,000 Miles",FALSE,Asay Auto,4WD Unlimited Sahara,NA,2013,Used,Provo,Dealer,Automatic,1088,17,21
69,69,69,9,Used 2016 Jeep Wrangler 4WD Unlimited Sahara,6,/cars-for-sale/vehicledetails.xhtml?listingId=470976243&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,29997,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,18952,Automatic,AT-1C1286F3,Gasoline,261883,1C4BJWEG6GL261883,NA,#454545,#000000,"This 2016 Jeep Wrangler Unlimited Sahara 4x4 with branded title is a CARFAX one owner with an odometer 4,319 miles below the market average! Save over $5,000 with this gorgeous SUV! It includes some great options like leather, heated seats and Bluetooth for convenient hands-free calling. Save thousands at Prestman Auto, one of the highest rated dealerships in Utah on Google! This vehicle has successfully passed a rigorous 150 point inspection by our ASE certified mechanics, ensuring you of reliability for miles to come! Prestman Auto is a family owned and operated dealership that has been in business since 1989. How many others can say the same? We have been the leader in top quality branded title vehicles sold nationwide, and we have thousands of happy customers who buy again and again from us. Additional fees, state fees, and dealer doc fees are in addition to the price listed. Dealer Number 4183.",NA,NA,NA,NA,FALSE,Prestman Auto,4WD Unlimited Sahara,NA,2016,Used,Provo,Dealer,Automatic,912,16,20
215,215,215,10,Used 2017 Jeep Wrangler 4WD Sahara,6,/cars-for-sale/vehicledetails.xhtml?listingId=484089743&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,31499,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,3027,Automatic,AT-1CDA9F8F,Gasoline,C612430,1C4BJWEG3HL612430,NA,#D7D7D7,#000000,"* BEST MATCH * WOW!! ONE OWNER!! NADA RETAIL $35,250, NADA TRADE IN $33,125!!! Take a look at this well-equipped ONE OWNER branded title Wrangler JK Unlimited RIGHT HERE at Prestman Auto in Lindon!! This Jeep has the features you're looking for like front heated leather seats, GPS navigation nav, Alpine premium sound system, heated mirrors, all weather floor mats, four wheel drive and more! This vehicle has completed a rigorous 150 point inspection by our ASE certified mechanics and is ready to hit the road. Buy with confidence from Prestman Auto, one of the highest rated dealerships in Utah on Google! A Bluestar inspection has been completed on this vehicle. This is a 45 category/150-point+ inspection completed by an independent, third party mechanic who is not associated with our dealership. Report details can be found here https://www.bluestar.com/inspection-repo rt/view-web/1C4BJWEG3HL612430/2392 or can be found by entering the last six digits of the VIN number at BlueStar.com . Prestman Auto is a family owned and operated dealership that has been in business since 1989. How many others can say the same? We have been the leader in top quality branded title vehicles sold nationwide, and we have thousands of happy customers who buy again and again from us. Additional fees, state fees, and dealer doc fees are in addition to the price listed. Dealer Number 4183.","3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,"5 Years/60,000 Miles",FALSE,Prestman Auto,4WD Sahara,NA,2017,Used,Provo,Dealer,Automatic,1384,17,21
